Status,Reason,URL
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Screenshot%202025-01-04%20at%201.58.01%E2%80%AFPM.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/home-collage.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/IMG_0277.jpg
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/justbones.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/bowl.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/desktopp.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/assemblage.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/closet.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/IMG_9231.jpg
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/rors.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/sounddevils.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/areyoufree.png
failed,503,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/theNudes.mp4
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/i%20saw%20a%20high%20hill%20and%20on%20it%20a%20form%20shaped%20against%20hard%20air%20(3).jpeg
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/DSC_8106.JPEG
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/DSC_8108.JPEG
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/DSC_8113.JPEG
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/DSC_8121.JPEG
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/IMG_4783.MOV
failed,missing_url,
failed,missing_url,
failed,missing_url,
failed,missing_url,
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/DSC_8106.jpeg
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/DSC_8108.jpeg
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/DSC_8113.jpeg
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/DSC_8121.jpeg
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/IMG_5306.JPG
failed,missing_url,
failed,missing_url,
failed,missing_url,
failed,missing_url,
failed,missing_url,
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/sounddevils.png
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/rors.png
failed,missing_url,
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/justbones.png
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/IMG_9231.jpg
failed,missing_url,
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/home-collage.png
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/desktopp.png
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/closet.png
failed,missing_url,
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/bowl.png
failed,missing_url,
downloaded,exists,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/OliviaLee-DP-1.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/docblog.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Screenshot%202025-02-06%20at%202.15.29%E2%80%AFPM.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Screenshot%202025-02-06%20at%202.14.51%E2%80%AFPM.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Screenshot%202025-02-06%20at%202.14.22%E2%80%AFPM.png
